country,year,inflation,openness,investment,gdp_growth
AGO,2000,,,,3.05462423430785
AGO,2001,,,,4.2059985561951
AGO,2002,,105.301742600149,30.4931731253335,13.6656887608562
AGO,2003,98.2241436573304,103.901229551372,30.4511114121029,2.99000000000001
AGO,2004,43.5421067519687,103.579947051466,30.8936755014177,10.9500000059465
AGO,2005,22.953513851394,106.590962129525,27.5565797901657,15.0299999905513
AGO,2006,13.3052101780032,94.6251593320477,23.3007709224417,11.549999997879
AGO,2007,12.2514974459487,108.060067893978,25.730579355956,14.0100000086059
AGO,2008,12.4758291326398,121.364708453698,30.804053314644,11.1699999942146
AGO,2009,13.7302839288409,122.446144139295,42.8208531628244,0.860000002152788
AGO,2010,14.4696564932577,104.123635308845,28.1973176920118,4.39837593810763
AGO,2011,13.4824679218511,99.9825063313368,26.4243531675539,3.47205314798103
AGO,2012,10.2779049218839,91.8000973419114,26.6675773725046,8.54210707584141
AGO,2013,8.77781429332625,86.8119327587926,26.1429704757952,4.95461303112738
AGO,2014,7.2803873036112,79.3329227828897,27.5004591988793,4.82255926962156
AGO,2015,9.35597215533781,62.8885160890192,34.2024908297612,0.943571561325001
AGO,2016,30.6944150806719,53.3701580675988,27.2147092687935,-2.58004964404932
AGO,2017,29.8444799015679,52.2568222278462,24.1303058646463,-0.147212941085755
AGO,2018,19.6289379701521,66.3780133263399,17.8694205677582,-1.31636168896895
AGO,2019,17.080954143438,57.8295381183036,17.7122552404386,-0.702272957616017
AGO,2020,22.271539247051,65.9420289329872,26.4904004984611,-5.63821471714934
AGO,2021,25.7542948841891,74.4644985871074,26.4373618826197,1.19921052145153
AGO,2022,21.3552901320822,69.6910705054094,26.256018224438,3.04472652391918
AGO,2023,13.6441017767715,67.00179327992,23.7790911131562,1.07809951970673
BDI,2000,24.4320242102151,22.5537244890286,2.78113770989619,-0.856864058424151
BDI,2001,9.29618771341889,20.9640456147222,4.46825856260011,2.05580710835243
BDI,2002,-1.3656800532806,21.6738294069666,3.94866019879363,4.44651941224797
BDI,2003,10.6474645658306,27.3763120796107,7.86879003706402,-1.22372796023444
BDI,2004,8.17642937482054,31.5761181816532,10.3470971301176,4.83365776809453
BDI,2005,13.2520699188224,35.0999988412936,18.2,0.900000000901912
BDI,2006,2.74542000214241,42.4,18.5129857241011,5.41380714491444
BDI,2007,8.41206285772544,38.7999987731993,15.1864583013854,3.45194856381943
BDI,2008,24.4069510353914,47.1999995814015,13.4089586890331,4.86171636712641
BDI,2009,10.5554355299529,35.8000035591914,18.9748730212835,3.81274536633418
BDI,2010,6.49326591473995,39.5000053977394,17.1603824318375,5.12415999439806
BDI,2011,9.59216605979671,43.0000028373483,16.3457475597031,4.03259998844415
BDI,2012,18.1610453065451,43.7053731916201,16.3381446870308,4.44670633111495
BDI,2013,7.93795807492418,46.6040790867655,14.6326385171192,4.92418989834684
BDI,2014,4.40535234185288,42.995025805263,14.2030571572419,4.24065021402657
BDI,2015,5.54468891259784,22.8382834157721,12.1634582505496,-3.9000000804855
BDI,2016,5.55768961400966,23.0437252570449,9.23740996969432,-0.600000909116389
BDI,2017,16.0525353030392,22.2402931011977,8.80601560454674,0.500001262429279
BDI,2018,-2.81469807668464,26.5997024647774,11.1034585930148,1.60993542127714
BDI,2019,-0.686772170797372,29.0262099997889,14.1287000005288,1.81256532401552
BDI,2020,7.32110643415518,26.773329999595,11.4459869190333,0.327156892638385
BDI,2021,8.40453845076341,28.8186599995439,13.1126199999271,3.09999999870627
BDI,2022,18.8008786664945,28.315320358729,13.3868808148699,1.84899943948213
BDI,2023,26.9414835762453,29.7369723066251,13.0504574343386,2.66553960418187
BEN,2000,,47.3481515012844,16.0084024487125,5.85771420543269
BEN,2001,,48.2571706392197,17.7527202451424,5.33313570603937
BEN,2002,,43.7684225364311,14.8337225342659,4.64303087074482
BEN,2003,,41.6162305574334,15.1637900420403,3.44357677591658
BEN,2004,,39.9029743365096,15.218605125346,4.42968455385082
BEN,2005,,39.0959311879142,12.0860448919113,1.71316456361184
BEN,2006,,39.7746987128551,12.8734651191902,3.94373882815798
BEN,2007,,49.1137841529705,16.3768679983693,5.98634932177609
BEN,2008,,47.7753592695169,13.7404206600646,4.89657708429647
BEN,2009,0.896072355749065,44.7026290629806,14.8657187295579,2.31929213912838
BEN,2010,2.20783532536524,51.4308599492924,15.608089212583,2.11406472648392
BEN,2011,2.70423907747279,47.2170288118403,16.4625572802737,2.96375291904201
BEN,2012,6.74468253340713,50.7367367791134,15.276312739626,4.811223315688
BEN,2013,0.428888888888905,59.2001918331875,18.86187234768,7.19143372144946
BEN,2014,-0.548757550948178,65.2682749404551,19.2575856279899,6.35767909791932
BEN,2015,0.218785923536209,56.7563131849476,20.731792085746,1.77815106030278
BEN,2016,-0.79331014578558,58.9869283378276,20.2720396046954,3.33967342629693
BEN,2017,0.0432648555103161,61.4765969588474,23.9604222292501,5.67156195150444
BEN,2018,0.919170717886098,61.7951944903448,26.3865130249513,6.69725362180888
BEN,2019,0.732849371241047,63.68133231423,25.6298005790604,6.86568662848335
BEN,2020,3.02272119663757,44.8332333768726,25.6338435081567,3.84879240030133
BEN,2021,1.73353962694033,48.0548608324409,28.8506183177663,7.1554516457574
BEN,2022,1.35077863583529,44.3815928877424,31.1483716430973,6.25294705373625
BEN,2023,2.73870078406076,44.6631308180211,34.5306621756362,6.3527773854442
BFA,2000,,35.1229419704263,14.5706990626075,1.88847388906525
BFA,2001,,31.6581708148511,13.5458978685006,6.61340574539679
BFA,2002,,31.3125228527966,13.4516848777294,4.35296382988099
